miRNA,gene
hsa-miR-203_st,MAN1A2
hsa-miR-203_st,MAPK9
hsa-miR-203_st,NIPAL2
hsa-miR-203_st,NPRL2
hsa-miR-203_st,NR5A2
hsa-miR-203_st,NSUN7
hsa-miR-203_st,PAIP2B
hsa-miR-203_st,PAPSS2
hsa-miR-203_st,PCBP2
hsa-miR-203_st,PCDH9
hsa-miR-203_st,PDGFD
hsa-miR-203_st,PELI2
hsa-miR-203_st,PEX3
hsa-miR-203_st,ACADSB
hsa-miR-203_st,PKHD1
hsa-miR-203_st,PLG
hsa-miR-203_st,REPS1
hsa-miR-203_st,RPL23A
hsa-miR-203_st,RPS24
hsa-miR-203_st,RWDD1
hsa-miR-203_st,RWDD4
hsa-miR-203_st,SCFD1
hsa-miR-203_st,SCN1A
hsa-miR-203_st,SDK1
hsa-miR-203_st,BACE1
hsa-miR-203_st,SEL1L
hsa-miR-203_st,ACO1
hsa-miR-203_st,ACOT13
hsa-miR-203_st,BANF1
hsa-miR-203_st,SLC16A12
hsa-miR-203_st,SLC22A23
hsa-miR-203_st,BCAT1
hsa-miR-203_st,SV2B
hsa-miR-203_st,TAF9B
hsa-miR-203_st,TIFA
hsa-miR-203_st,TMED10
hsa-miR-203_st,TMEM192
hsa-miR-203_st,TMEM57
hsa-miR-203_st,BTD
hsa-miR-203_st,TXNDC16
hsa-miR-203_st,C4orf33
hsa-miR-204_st,CDH11
hsa-miR-100_st,HES7
hsa-miR-100_st,HS3ST2
hsa-miR-100_st,ST6GALNAC4
hsa-miR-100_st,ZZEF1
hsa-miR-206_st,CCDC85C
hsa-miR-206_st,CCNC
hsa-miR-206_st,CCZ1
hsa-miR-206_st,CDK14
hsa-miR-206_st,CDK4
hsa-miR-206_st,ADAR
hsa-miR-206_st,CFDP1
hsa-miR-206_st,CNN3
hsa-miR-206_st,ABCB11
hsa-miR-206_st,COL4A3BP
hsa-miR-206_st,CPEB1
hsa-miR-206_st,CPLX2
hsa-miR-206_st,CREBL2
hsa-miR-206_st,ABCB7
hsa-miR-206_st,CTNND2
hsa-miR-206_st,CXorf23
hsa-miR-206_st,DBP
hsa-miR-206_st,AGBL5
hsa-miR-206_st,DCP2
hsa-miR-206_st,DDX17
hsa-miR-206_st,DDX3X
hsa-miR-206_st,DDX5
hsa-miR-206_st,DGKH
hsa-miR-206_st,DICER1
hsa-miR-206_st,DLG1
hsa-miR-206_st,DLG4
hsa-miR-206_st,DNAJC5
hsa-miR-206_st,DNAJC6
hsa-miR-206_st,DONSON
hsa-miR-206_st,DPY19L3
hsa-miR-206_st,EBPL
hsa-miR-206_st,EDN1
hsa-miR-206_st,EID1
hsa-miR-206_st,EIF1AD
hsa-miR-206_st,AKAP11
hsa-miR-206_st,ELOVL6
hsa-miR-206_st,ENTPD7
hsa-miR-206_st,ERMP1
hsa-miR-206_st,EYA3
hsa-miR-206_st,FADS1
hsa-miR-206_st,FAF2
hsa-miR-206_st,FAM126A
hsa-miR-206_st,FAM150B
hsa-miR-206_st,FAM63B
hsa-miR-206_st,FAM84A
hsa-miR-206_st,FAM91A1
hsa-miR-206_st,FBXO30
hsa-miR-206_st,FBXW7
hsa-miR-206_st,FGD4
hsa-miR-206_st,FLNB
hsa-miR-206_st,FNBP1L
hsa-miR-206_st,FRS2
hsa-miR-206_st,G3BP2
hsa-miR-206_st,GAN
hsa-miR-206_st,GDAP1
hsa-miR-206_st,GLCE
hsa-miR-206_st,GLS
hsa-miR-206_st,GMFB
hsa-miR-206_st,ANKIB1
hsa-miR-206_st,GNAI3
hsa-miR-206_st,GNB4
hsa-miR-206_st,GNE
