miRNA,gene
hsa-miR-300_st,SLC18A2
hsa-miR-300_st,SLC30A4
hsa-miR-300_st,BCKDHB
hsa-miR-300_st,SMO
hsa-miR-300_st,SP5
hsa-miR-300_st,SYF2
hsa-miR-300_st,TAF3
hsa-miR-300_st,TGFB3
hsa-miR-300_st,TMEM39A
hsa-miR-300_st,UBE2F
hsa-miR-300_st,VAV3
hsa-miR-300_st,WDR91
hsa-miR-300_st,ZBTB16
hsa-miR-300_st,ZFYVE21
hsa-miR-300_st,CADPS2
hsa-miR-3064-5p_st,CCDC97
hsa-miR-3064-5p_st,CISH
hsa-miR-3064-5p_st,CRY2
hsa-miR-3064-5p_st,EFR3B
hsa-miR-3064-5p_st,EIF4B
hsa-miR-3064-5p_st,FAM149B1
hsa-miR-3064-5p_st,ABHD15
hsa-miR-3064-5p_st,GPRC5C
hsa-miR-3064-5p_st,GSG1
hsa-miR-3064-5p_st,GSG1L
hsa-miR-3064-5p_st,HSPB6
hsa-miR-3064-5p_st,IQCK
hsa-miR-3064-5p_st,JMJD7-PLA2G4B
hsa-miR-3064-5p_st,MRPL3
hsa-miR-3064-5p_st,MTHFR
hsa-miR-3064-5p_st,NT5C1A
hsa-miR-3064-5p_st,NUDCD3
hsa-miR-3064-5p_st,NUP214
hsa-miR-3064-5p_st,NXN
hsa-miR-3064-5p_st,POLDIP3
hsa-miR-3064-5p_st,RORB
hsa-miR-3064-5p_st,SCAMP5
hsa-miR-3064-5p_st,SCN1A
hsa-miR-3064-5p_st,SHPK
hsa-miR-3064-5p_st,SLC16A10
hsa-miR-3064-5p_st,BCL2L13
hsa-miR-3064-5p_st,SPR
hsa-miR-3064-5p_st,SYT2
hsa-miR-3064-5p_st,TCP1
hsa-miR-3064-5p_st,TCP11
hsa-miR-3064-5p_st,TRIM24
hsa-miR-3064-5p_st,WDR55
hsa-miR-3064-5p_st,ZNF704
hsa-miR-3064-5p_st,CAMK2B
hsa-miR-32_st,COL1A2
hsa-miR-32_st,BGN
hsa-miR-326_st,CTRC
hsa-miR-326_st,DNAJB12
hsa-miR-326_st,AQP2
hsa-miR-326_st,LRRC34
hsa-miR-326_st,MYSM1
hsa-miR-326_st,PXN
hsa-miR-326_st,RARS2
hsa-miR-326_st,SLCO1A2
hsa-miR-326_st,BCLAF1
hsa-miR-326_st,SYPL2
hsa-miR-326_st,UHRF1BP1
hsa-miR-326_st,ZRANB3
hsa-miR-326_st,C4orf19
hsa-miR-330-5p_st,ADM2
hsa-miR-330-5p_st,DGKI
hsa-miR-330-5p_st,DTNB
hsa-miR-330-5p_st,FAM167B
hsa-miR-330-5p_st,KCNJ5
hsa-miR-330-5p_st,KCNK12
hsa-miR-330-5p_st,KCNK3
hsa-miR-330-5p_st,KIAA1958
hsa-miR-330-5p_st,NONO
hsa-miR-330-5p_st,NRGN
hsa-miR-330-5p_st,ARSB
hsa-miR-330-5p_st,P4HA2
hsa-miR-330-5p_st,PARP2
hsa-miR-330-5p_st,SH3PXD2A
hsa-miR-330-5p_st,TGM2
hsa-miR-330-5p_st,BTRC
hsa-miR-330-5p_st,WARS2
hsa-miR-330-5p_st,CAB39L
hsa-miR-362-3p_st,CSNK2A1
hsa-miR-362-3p_st,DAPK1
hsa-miR-362-3p_st,DDX19A
hsa-miR-362-3p_st,DDX6
hsa-miR-362-3p_st,AHNAK
hsa-miR-362-3p_st,DPYSL2
hsa-miR-362-3p_st,EIF4G1
hsa-miR-362-3p_st,ERI3
hsa-miR-362-3p_st,FLNB
hsa-miR-362-3p_st,GLUD2
hsa-miR-362-3p_st,HNRNPL
hsa-miR-362-3p_st,METTL9
hsa-miR-362-3p_st,MRRF
hsa-miR-362-3p_st,PHB
hsa-miR-362-3p_st,PIP5K1C
hsa-miR-362-3p_st,PRKCA
hsa-miR-362-3p_st,RTF1
hsa-miR-362-3p_st,SEL1L3
hsa-miR-362-3p_st,SMARCAD1
hsa-miR-362-3p_st,SPCS2
hsa-miR-362-3p_st,TATDN2
hsa-miR-362-3p_st,USF2
hsa-miR-362-3p_st,WDR77
hsa-miR-362-3p_st,ACTR1A
hsa-miR-362-3p_st,C1orf27
hsa-miR-362-5p_st,CCDC91
hsa-miR-362-5p_st,CDKL2
hsa-miR-362-5p_st,CHD1
hsa-miR-362-5p_st,CHSY1
hsa-miR-362-5p_st,ADHFE1
hsa-miR-362-5p_st,FAM20B
hsa-miR-362-5p_st,FAM47E
hsa-miR-362-5p_st,HSDL2
hsa-miR-362-5p_st,HUNK
hsa-miR-362-5p_st,IL17RD
hsa-miR-362-5p_st,KCNRG
hsa-miR-362-5p_st,LEPRE1
hsa-miR-362-5p_st,LIN52
hsa-miR-362-5p_st,LPIN1
hsa-miR-362-5p_st,LUC7L3
hsa-miR-362-5p_st,MLEC
hsa-miR-362-5p_st,MTHFD1L
hsa-miR-362-5p_st,NUP35
hsa-miR-362-5p_st,PIGN
hsa-miR-362-5p_st,ATMIN
hsa-miR-362-5p_st,SLC38A11
hsa-miR-362-5p_st,STRN3
hsa-miR-362-5p_st,TMEM136
hsa-miR-362-5p_st,TRIM3
hsa-miR-362-5p_st,ZC3H4
hsa-miR-362-5p_st,CALCOCO1
hsa-miR-363_st,SOSTDC1
hsa-miR-107_st,COBLL1
hsa-miR-107_st,DCTN4
hsa-miR-107_st,DFFA
hsa-miR-107_st,DLL1
hsa-miR-107_st,DNAJC3
hsa-miR-107_st,FUCA2
hsa-miR-107_st,HTT
hsa-miR-107_st,IGSF9B
hsa-miR-107_st,MIF4GD
hsa-miR-107_st,MTUS1
hsa-miR-107_st,ARMC1
hsa-miR-107_st,ASH1L
hsa-miR-107_st,PDK4
hsa-miR-107_st,PGRMC2
hsa-miR-107_st,PHYHIPL
hsa-miR-107_st,POLDIP2
hsa-miR-107_st,PPIG
hsa-miR-107_st,ATP1B2
hsa-miR-107_st,SERPINB1
hsa-miR-107_st,BCKDK
hsa-miR-107_st,BCL2L2
hsa-miR-107_st,SRM
hsa-miR-107_st,STXBP6
hsa-miR-107_st,SYDE2
hsa-miR-107_st,SYNGR1
hsa-miR-107_st,TMEM52
hsa-miR-107_st,TTLL7
hsa-miR-107_st,UMOD
hsa-miR-107_st,VPS4A
hsa-miR-107_st,WWP2
hsa-miR-367_st,CDCA7L
hsa-miR-367_st,CEBPA
hsa-miR-367_st,CLEC16A
hsa-miR-367_st,CNTN4
hsa-miR-367_st,COL1A2
hsa-miR-367_st,CTTNBP2
hsa-miR-367_st,AFF4
hsa-miR-367_st,DBT
hsa-miR-367_st,DCLK2
hsa-miR-367_st,DDIT4
hsa-miR-367_st,DMXL1
hsa-miR-367_st,DNAJC4
hsa-miR-367_st,DOCK5
hsa-miR-367_st,DPY30
hsa-miR-367_st,DTX2
hsa-miR-367_st,DUSP1
hsa-miR-367_st,DUSP5
hsa-miR-367_st,AKAP10
hsa-miR-367_st,EPHA8
hsa-miR-367_st,FAM160B1
hsa-miR-367_st,FAM20C
hsa-miR-367_st,FBXO32
hsa-miR-367_st,FMN2
hsa-miR-367_st,FNBP4
hsa-miR-367_st,FREM2
hsa-miR-367_st,GAA
hsa-miR-367_st,GALNT7
hsa-miR-367_st,GAP43
hsa-miR-367_st,GOLGA7
hsa-miR-367_st,GPR124
hsa-miR-367_st,GRM2
hsa-miR-367_st,HAND1
hsa-miR-367_st,HERC2
hsa-miR-367_st,ING5
hsa-miR-367_st,IRS2
hsa-miR-367_st,KIAA1024
hsa-miR-367_st,KLF3
hsa-miR-367_st,KLF6
hsa-miR-367_st,KLHL3
hsa-miR-367_st,KRT1
hsa-miR-367_st,LMBR1L
hsa-miR-367_st,LMO2
hsa-miR-367_st,LPP
hsa-miR-367_st,MAP1B
hsa-miR-367_st,MIER3
hsa-miR-367_st,MOAP1
hsa-miR-367_st,MOCS2
hsa-miR-367_st,MTA3
hsa-miR-367_st,N4BP2
hsa-miR-367_st,NEFH
hsa-miR-367_st,NFATC2IP
hsa-miR-367_st,NFE2L1
hsa-miR-367_st,NOTCH1
hsa-miR-367_st,PAPD7
hsa-miR-367_st,PDP2
hsa-miR-367_st,PHTF2
hsa-miR-367_st,POFUT2
hsa-miR-367_st,PRDM13
hsa-miR-367_st,PRKAA2
hsa-miR-367_st,PRKAR1B
hsa-miR-367_st,PTF1A
hsa-miR-367_st,ATP2B4
hsa-miR-367_st,RBFOX1
hsa-miR-367_st,RBPMS2
hsa-miR-367_st,REXO1
hsa-miR-367_st,RGS3
hsa-miR-367_st,ROBO1
hsa-miR-367_st,SCN8A
hsa-miR-367_st,SETD7
hsa-miR-367_st,SH3D19
hsa-miR-367_st,SH3PXD2A
hsa-miR-367_st,SLX4
hsa-miR-367_st,SNAI1
hsa-miR-367_st,SORCS3
hsa-miR-367_st,SOSTDC1
hsa-miR-367_st,SPRYD4
hsa-miR-367_st,BMP2K
hsa-miR-367_st,TEAD1
hsa-miR-367_st,TGFB2
hsa-miR-367_st,TMCC3
hsa-miR-367_st,BSDC1
hsa-miR-367_st,TRIO
hsa-miR-367_st,TSC1
hsa-miR-367_st,UBE2Z
hsa-miR-367_st,UGP2
hsa-miR-367_st,USP36
hsa-miR-367_st,ACTC1
hsa-miR-367_st,WDFY3
hsa-miR-367_st,ZNF804B
hsa-miR-367_st,ZNF827
hsa-miR-367_st,CACNA2D1
hsa-miR-372_st,CC2D1A
hsa-miR-372_st,CD226
hsa-miR-372_st,CHD1
hsa-miR-372_st,CNOT6
hsa-miR-372_st,CTSA
hsa-miR-372_st,DCAF7
hsa-miR-372_st,AKT1
hsa-miR-372_st,IFT74
hsa-miR-372_st,ITGB8
hsa-miR-372_st,MYBL1
hsa-miR-372_st,ARMC8
hsa-miR-372_st,PCBD1
hsa-miR-372_st,PMPCB
hsa-miR-372_st,PTDSS1
hsa-miR-372_st,RAD18
hsa-miR-372_st,RSRC2
hsa-miR-372_st,SLC25A12
hsa-miR-372_st,SNTB2
hsa-miR-372_st,TRIM8
hsa-miR-372_st,ZC3HAV1L
hsa-miR-372_st,ZNF362
hsa-miR-372_st,C2orf44
hsa-miR-373_st,CECR2
hsa-miR-373_st,ADRB1
hsa-miR-373_st,CXorf67
hsa-miR-373_st,DPYSL5
hsa-miR-373_st,GNAL
hsa-miR-373_st,GPR12
hsa-miR-373_st,GPR161
hsa-miR-373_st,HOXB13
hsa-miR-373_st,LHX6
hsa-miR-373_st,LRIT1
hsa-miR-373_st,ARHGEF10
hsa-miR-373_st,MIXL1
hsa-miR-373_st,POU6F1
hsa-miR-373_st,RBL1
hsa-miR-373_st,SCN5A
hsa-miR-373_st,SH2D5
hsa-miR-373_st,TMEM25
hsa-miR-373_st,TNR
hsa-miR-373_st,VLDLR
hsa-miR-373_st,WNT9B
hsa-miR-373_st,ZFPM1
hsa-miR-373_st,ACVR1C
hsa-miR-378_st,CDC20B
hsa-miR-378_st,CTDP1
hsa-miR-378_st,CUEDC1
hsa-miR-378_st,DSCAM
hsa-miR-378_st,DUSP8
hsa-miR-378_st,FAM83F
hsa-miR-378_st,FANCA
hsa-miR-378_st,FCRLB
hsa-miR-378_st,FRMPD4
hsa-miR-378_st,HIF3A
hsa-miR-378_st,HSPA12A
hsa-miR-378_st,IL1RAPL1
hsa-miR-378_st,IQSEC2
hsa-miR-378_st,KBTBD6
hsa-miR-378_st,KCND1
hsa-miR-378_st,KCTD7
hsa-miR-378_st,KIAA1875
hsa-miR-378_st,KIF26B
hsa-miR-378_st,KPNA6
hsa-miR-378_st,AQP3
hsa-miR-378_st,KSR1
hsa-miR-378_st,LAS1L
hsa-miR-378_st,LDLRAD2
hsa-miR-378_st,LENG9
hsa-miR-378_st,MED12L
hsa-miR-378_st,MEF2D
hsa-miR-378_st,MPP2
hsa-miR-378_st,NEUROD1
hsa-miR-378_st,NFRKB
hsa-miR-378_st,NKAIN1
hsa-miR-378_st,NPAS4
hsa-miR-378_st,PDE1B
hsa-miR-378_st,PHF7
hsa-miR-378_st,PIGV
hsa-miR-378_st,PIWIL2
hsa-miR-378_st,PLEKHA4
hsa-miR-378_st,ATG12
hsa-miR-378_st,ATG2A
hsa-miR-378_st,PTCD1
hsa-miR-378_st,RANBP10
hsa-miR-378_st,RCC2
hsa-miR-378_st,RCHY1
hsa-miR-378_st,RGAG4
hsa-miR-378_st,RIMS4
hsa-miR-378_st,RIT1
hsa-miR-378_st,RSPH4A
hsa-miR-378_st,SARM1
hsa-miR-378_st,SGCZ
hsa-miR-378_st,SHANK3
hsa-miR-378_st,SHISA9
hsa-miR-378_st,SIX5
hsa-miR-378_st,SKP2
hsa-miR-378_st,SLC7A6
hsa-miR-378_st,SLC9A5
hsa-miR-378_st,SOX7
hsa-miR-378_st,SUFU
hsa-miR-378_st,BMP2
hsa-miR-378_st,TBX6
hsa-miR-378_st,BOLL
hsa-miR-378_st,TRIM55
hsa-miR-378_st,TSPAN14
hsa-miR-378_st,TSPAN17
hsa-miR-378_st,VANGL1
hsa-miR-378_st,VAT1L
hsa-miR-378_st,C15orf61
hsa-miR-378_st,CALN1
hsa-miR-378_st,CATSPER4
hsa-miR-381_st,DKK3
hsa-miR-381_st,IGFBP5
hsa-miR-381_st,LAMA4
hsa-miR-381_st,OSBPL3
hsa-miR-381_st,BAMBI
hsa-miR-423-5p_st,CELSR2
hsa-miR-423-5p_st,CYP4F22
hsa-miR-423-5p_st,DYRK1B
hsa-miR-423-5p_st,ELAVL3
hsa-miR-423-5p_st,ENGASE
hsa-miR-423-5p_st,ERF
hsa-miR-423-5p_st,EVX1
hsa-miR-423-5p_st,FBXL16
hsa-miR-423-5p_st,AMBRA1
hsa-miR-423-5p_st,MED22
hsa-miR-423-5p_st,NFATC4
hsa-miR-423-5p_st,NPTXR
hsa-miR-423-5p_st,PEX16
hsa-miR-423-5p_st,ACHE
hsa-miR-423-5p_st,SMG6
hsa-miR-423-5p_st,TSPAN33
hsa-miR-423-5p_st,VGF
hsa-miR-423-5p_st,VPS37D
hsa-miR-424_st,ADAMTSL3
hsa-miR-424_st,CYB561
hsa-miR-424_st,EPB41L4B
hsa-miR-424_st,EPC1
hsa-miR-424_st,FAM110C
hsa-miR-424_st,INSR
hsa-miR-424_st,ISOC1
hsa-miR-424_st,KCTD8
hsa-miR-424_st,KHNYN
hsa-miR-424_st,MKNK1
hsa-miR-424_st,MT1H
hsa-miR-424_st,MYBL1
hsa-miR-424_st,OS9
hsa-miR-424_st,PHLPP2
hsa-miR-424_st,PPIF
hsa-miR-424_st,PPM1D
hsa-miR-424_st,PPP2R1B
hsa-miR-424_st,PRKAR2A
hsa-miR-424_st,PSAT1
hsa-miR-424_st,RAB3D
hsa-miR-424_st,RPS6KA6
hsa-miR-424_st,SIDT2
hsa-miR-424_st,SLC43A1
hsa-miR-424_st,TOMM20
hsa-miR-424_st,BTF3
hsa-miR-424_st,ZBTB39
hsa-miR-424_st,ZER1
hsa-miR-424_st,ZNF622
hsa-miR-429_st,CEBPD
hsa-miR-429_st,ADIPOR2
hsa-miR-429_st,DTNA
hsa-miR-429_st,EIF2A
hsa-miR-429_st,ERRFI1
hsa-miR-429_st,FAM149A
hsa-miR-429_st,HDHD2
hsa-miR-429_st,HNRNPH1
hsa-miR-429_st,ANO5
hsa-miR-429_st,HOOK1
hsa-miR-429_st,IFRD1
hsa-miR-429_st,KRR1
hsa-miR-429_st,NEDD1
hsa-miR-429_st,PLK2
hsa-miR-429_st,SLC39A14
hsa-miR-429_st,SSR3
hsa-miR-429_st,ST13
hsa-miR-429_st,TMEM14A
hsa-miR-429_st,C10orf118
hsa-miR-429_st,ZC3H15
hsa-miR-429_st,CACHD1
hsa-miR-454_st,CDK2AP2
hsa-miR-454_st,COL9A3
hsa-miR-454_st,ERN1
hsa-miR-454_st,ERO1LB
hsa-miR-454_st,GADD45B
hsa-miR-454_st,GPT2
hsa-miR-454_st,INSIG1
hsa-miR-454_st,IQGAP2
hsa-miR-454_st,MARK3
hsa-miR-454_st,MID1IP1
hsa-miR-454_st,ARHGEF4
hsa-miR-454_st,NR3C2
hsa-miR-454_st,PAK6
hsa-miR-454_st,PHF17
hsa-miR-454_st,PNRC1
hsa-miR-454_st,RNF180
hsa-miR-454_st,SHC3
hsa-miR-454_st,SLAIN1
hsa-miR-454_st,SLC35D1
hsa-miR-454_st,SND1
hsa-miR-454_st,SOX21
hsa-miR-454_st,SYBU
hsa-miR-454_st,TCIRG1
hsa-miR-454_st,TOB2
hsa-miR-454_st,UBB
hsa-miR-1271_st,CELF6
hsa-miR-1271_st,CENPP
hsa-miR-1271_st,CHST10
hsa-miR-1271_st,ADRA2C
hsa-miR-1271_st,DNAJC30
hsa-miR-1271_st,DPYSL5
hsa-miR-1271_st,DUSP4
hsa-miR-1271_st,EMILIN2
hsa-miR-1271_st,EVI5L
hsa-miR-1271_st,FOXRED2
hsa-miR-1271_st,FREM1
hsa-miR-1271_st,GALNT2
hsa-miR-1271_st,GJA3
hsa-miR-1271_st,GPRASP2
hsa-miR-1271_st,IGDCC3
hsa-miR-1271_st,ITPR2
hsa-miR-1271_st,KIAA1324
hsa-miR-1271_st,KIF26A
hsa-miR-1271_st,LRRC4
hsa-miR-1271_st,MAGI3
hsa-miR-1271_st,ARHGAP6
hsa-miR-1271_st,METTL8
hsa-miR-1271_st,MPP1
hsa-miR-1271_st,MYRIP
hsa-miR-1271_st,NKAP
hsa-miR-1271_st,PAQR5
hsa-miR-1271_st,PHF21B
hsa-miR-1271_st,PLA2G12A
hsa-miR-1271_st,PLCE1
hsa-miR-1271_st,PPM1F
hsa-miR-1271_st,PPP1R12C
hsa-miR-1271_st,PRDM16
hsa-miR-1271_st,PTPRN2
hsa-miR-1271_st,RAP1GAP2
hsa-miR-1271_st,RGS2
hsa-miR-1271_st,RNF112
hsa-miR-1271_st,RNF130
hsa-miR-1271_st,S100PBP
hsa-miR-1271_st,SALL4
hsa-miR-1271_st,SCN9A
hsa-miR-1271_st,SEZ6L2
hsa-miR-1271_st,SLC12A5
hsa-miR-1271_st,SLC25A15
hsa-miR-1271_st,SLC25A25
hsa-miR-1271_st,SLC38A4
hsa-miR-1271_st,SPATA13
hsa-miR-1271_st,SRCRB4D
hsa-miR-1271_st,STOX2
hsa-miR-1271_st,TBX1
hsa-miR-1271_st,TBX5
hsa-miR-1271_st,BNIP3
hsa-miR-1271_st,TMEM170A
hsa-miR-1271_st,TMEM97
hsa-miR-1271_st,UBE2D4
hsa-miR-1271_st,WHAMM
hsa-miR-1271_st,WNK2
hsa-miR-1271_st,YIPF4
hsa-miR-1271_st,ZNF189
hsa-miR-1271_st,ABAT
hsa-miR-1271_st,CADM2
hsa-miR-1271_st,CBLN4
hsa-miR-485-5p_st,CDX1
hsa-miR-485-5p_st,CTDNEP1
hsa-miR-485-5p_st,GPR3
hsa-miR-485-5p_st,HDAC5
hsa-miR-485-5p_st,KCNJ11
hsa-miR-485-5p_st,RASL10A
hsa-miR-485-5p_st,SLC39A14
hsa-miR-488_st,ABCA12
hsa-miR-488_st,CCDC93
hsa-miR-488_st,CENPO
hsa-miR-488_st,CRB3
hsa-miR-488_st,CREBZF
hsa-miR-488_st,AES
hsa-miR-488_st,CTH
hsa-miR-488_st,CTSO
hsa-miR-488_st,DAB2IP
hsa-miR-488_st,DCHS2
hsa-miR-488_st,DCX
hsa-miR-488_st,DHRS7
hsa-miR-488_st,DMBX1
hsa-miR-488_st,DNAJA2
hsa-miR-488_st,DNAJC10
hsa-miR-488_st,DRG1
hsa-miR-488_st,EBF2
hsa-miR-488_st,EIF2S2
hsa-miR-488_st,ELK3
hsa-miR-488_st,AKR1B1
hsa-miR-488_st,EXT1
hsa-miR-488_st,FAM120A
hsa-miR-488_st,FAM126B
hsa-miR-488_st,FAM149B1
hsa-miR-488_st,FAM179A
hsa-miR-488_st,FAM49B
hsa-miR-488_st,FAM69A
hsa-miR-488_st,FBXL5
hsa-miR-488_st,FBXO9
hsa-miR-488_st,FEM1C
hsa-miR-488_st,FGD1
hsa-miR-488_st,FITM2
hsa-miR-488_st,FOXE1
hsa-miR-488_st,FSCN1
hsa-miR-488_st,FUT8
hsa-miR-488_st,AMPD3
hsa-miR-488_st,GMPS
hsa-miR-488_st,ANKRD28
hsa-miR-488_st,GPSM2
hsa-miR-488_st,GTF2I
hsa-miR-488_st,HAS2
hsa-miR-488_st,HEPACAM
hsa-miR-488_st,HFE
hsa-miR-488_st,HM13
hsa-miR-488_st,IER2
hsa-miR-488_st,IMPACT
hsa-miR-488_st,AP3B1
hsa-miR-488_st,ITGB3BP
hsa-miR-488_st,JDP2
hsa-miR-488_st,KCNS2
hsa-miR-488_st,APTX
hsa-miR-488_st,KNG1
hsa-miR-488_st,KPNA4
hsa-miR-488_st,LITAF
hsa-miR-488_st,ARFIP2
hsa-miR-488_st,LRRC40
hsa-miR-488_st,LRRC41
hsa-miR-488_st,LUC7L2
hsa-miR-488_st,MAP3K7
hsa-miR-488_st,MAVS
hsa-miR-488_st,ARHGEF11
hsa-miR-488_st,MGAT2
hsa-miR-488_st,MIP
hsa-miR-488_st,MMP16
hsa-miR-488_st,MNAT1
hsa-miR-488_st,MSH6
hsa-miR-488_st,ARID3A
hsa-miR-488_st,MYCBP2
hsa-miR-488_st,ABRA
hsa-miR-488_st,NIPAL3
hsa-miR-488_st,NLGN3
hsa-miR-488_st,ARMCX3
hsa-miR-488_st,NRSN2
hsa-miR-488_st,NUP88
hsa-miR-488_st,ORC2
hsa-miR-488_st,PAG1
hsa-miR-488_st,PANX1
hsa-miR-488_st,PAPD5
hsa-miR-488_st,PCDHB16
hsa-miR-488_st,PDE3A
hsa-miR-488_st,PGRMC2
hsa-miR-488_st,PHF19
hsa-miR-488_st,PHF8
hsa-miR-488_st,PHKA2
hsa-miR-488_st,PLD5
hsa-miR-488_st,PLSCR1
hsa-miR-488_st,POLR2F
hsa-miR-488_st,POMC
hsa-miR-488_st,PRCP
hsa-miR-488_st,PSEN1
hsa-miR-488_st,RAB39B
hsa-miR-488_st,RAB4A
hsa-miR-488_st,RAB9B
hsa-miR-488_st,RAC1
hsa-miR-488_st,RANBP2
hsa-miR-488_st,RAPGEF4
hsa-miR-488_st,RBBP5
hsa-miR-488_st,RFXAP
hsa-miR-488_st,RHEB
hsa-miR-488_st,RHOT1
hsa-miR-488_st,RNF149
hsa-miR-488_st,ROCK1
hsa-miR-488_st,RPP25
hsa-miR-488_st,B3GALNT2
hsa-miR-488_st,B3GAT2
hsa-miR-488_st,RXRB
hsa-miR-488_st,S1PR1
hsa-miR-488_st,SARS
hsa-miR-488_st,SHB
hsa-miR-488_st,SIN3A
hsa-miR-488_st,SKP1
hsa-miR-488_st,SLC17A7
hsa-miR-488_st,SLC2A12
hsa-miR-488_st,SLC35E2B
hsa-miR-488_st,SLC39A2
hsa-miR-488_st,SLC9A7
hsa-miR-488_st,SNX27
hsa-miR-488_st,SSTR1
hsa-miR-488_st,STAM
hsa-miR-488_st,STK25
hsa-miR-488_st,STON1
hsa-miR-488_st,SUGT1
hsa-miR-488_st,SUPT3H
hsa-miR-488_st,SUPT5H
hsa-miR-488_st,TANC2
hsa-miR-488_st,TBC1D12
hsa-miR-488_st,BMP2
hsa-miR-488_st,TET3
hsa-miR-488_st,TLR5
hsa-miR-488_st,TMEM105
hsa-miR-488_st,TMEM168
hsa-miR-488_st,TMEM184C
hsa-miR-488_st,TNFAIP8
hsa-miR-488_st,BRPF1
hsa-miR-488_st,TTLL3
hsa-miR-488_st,BTG1
hsa-miR-488_st,UBC
hsa-miR-488_st,USP30
hsa-miR-488_st,USP31
hsa-miR-488_st,USP48
hsa-miR-488_st,UTP15
hsa-miR-488_st,VPS29
hsa-miR-488_st,VPS35
hsa-miR-488_st,VPS4B
hsa-miR-488_st,VSIG10
hsa-miR-488_st,WDR7
hsa-miR-488_st,WIZ
hsa-miR-488_st,C11orf73
hsa-miR-488_st,XIAP
hsa-miR-488_st,XYLB
hsa-miR-488_st,ZDHHC8
hsa-miR-488_st,ZNF23
hsa-miR-488_st,ZNF366
hsa-miR-488_st,ZNF687
hsa-miR-488_st,ZNHIT6
hsa-miR-488_st,C17orf85
hsa-miR-488_st,ACVR1C
hsa-miR-488_st,C5orf42
hsa-miR-488_st,ADAM11
hsa-miR-488_st,ADAM9
hsa-miR-496_st,IPO11
hsa-miR-496_st,ITCH
hsa-miR-496_st,LPCAT2
hsa-miR-496_st,NFE2L3
hsa-miR-496_st,RER1
hsa-miR-496_st,BDP1
hsa-miR-496_st,BET1L
hsa-miR-496_st,TCERG1
hsa-miR-496_st,TRAF7
hsa-miR-497_st,CCDC158
hsa-miR-497_st,CCDC42B
hsa-miR-497_st,CCDC6
hsa-miR-497_st,CCNJL
hsa-miR-497_st,CCNYL1
hsa-miR-497_st,CD28
hsa-miR-497_st,ADAMTS5
hsa-miR-497_st,CDC25B
hsa-miR-497_st,CDC42EP2
hsa-miR-497_st,CDC6
hsa-miR-497_st,CDCA2
hsa-miR-497_st,CDCA4
hsa-miR-497_st,ADAMTSL3
hsa-miR-497_st,CDK12
hsa-miR-497_st,ADAP1
hsa-miR-497_st,CHD2
hsa-miR-497_st,CHD9
hsa-miR-497_st,CHRNE
hsa-miR-497_st,CNKSR3
hsa-miR-497_st,CNNM2
hsa-miR-497_st,CNTNAP1
hsa-miR-497_st,CNTNAP5
hsa-miR-497_st,ADO
hsa-miR-497_st,COL4A3BP
hsa-miR-497_st,ADRB2
hsa-miR-497_st,CRIM1
hsa-miR-497_st,CRKL
hsa-miR-497_st,CRTC3
hsa-miR-497_st,CSMD1
hsa-miR-497_st,CTDSPL
hsa-miR-497_st,CYB561D1
hsa-miR-497_st,DACH1
hsa-miR-497_st,DAGLA
hsa-miR-497_st,DAND5
hsa-miR-497_st,DCAF5
hsa-miR-497_st,DCAF7
hsa-miR-497_st,DCAF8
hsa-miR-497_st,AGPS
hsa-miR-497_st,DNAJB2
hsa-miR-497_st,DNAJC5
hsa-miR-497_st,AHNAK2
hsa-miR-497_st,DRP2
hsa-miR-497_st,DTX4
hsa-miR-497_st,DYNC1I1
hsa-miR-497_st,E2F3
hsa-miR-497_st,EFNB2
hsa-miR-497_st,EIF2B5
hsa-miR-497_st,EIF4E
hsa-miR-497_st,EIF5A2
hsa-miR-497_st,ELK4
hsa-miR-497_st,ELL
hsa-miR-497_st,ELOVL6
hsa-miR-497_st,EN2
hsa-miR-497_st,EPB41L1
hsa-miR-497_st,EPHA7
hsa-miR-497_st,ERBB4
hsa-miR-497_st,ESRP1
hsa-miR-497_st,ETV1
hsa-miR-497_st,FAM134C
hsa-miR-497_st,FAM63B
hsa-miR-497_st,FAM65B
hsa-miR-497_st,FAM81A
hsa-miR-497_st,ALKBH6
hsa-miR-497_st,FBXW7
hsa-miR-497_st,FGF1
hsa-miR-497_st,FGF18
hsa-miR-497_st,FMNL3
hsa-miR-497_st,FNIP2
hsa-miR-497_st,AMIGO1
hsa-miR-497_st,FOXK1
hsa-miR-497_st,FRYL
hsa-miR-497_st,FUBP1
hsa-miR-497_st,AMOTL2
hsa-miR-497_st,GABRE
hsa-miR-497_st,GABRR2
hsa-miR-497_st,GAS2L3
hsa-miR-497_st,GIGYF1
hsa-miR-497_st,ANK3
hsa-miR-497_st,GNAQ
hsa-miR-497_st,GPATCH8
hsa-miR-497_st,GPRIN3
hsa-miR-497_st,GRK5
hsa-miR-497_st,ANKRD40
hsa-miR-497_st,HCFC2
hsa-miR-497_st,HCN1
hsa-miR-497_st,HECTD1
hsa-miR-497_st,HIP1
hsa-miR-497_st,HK2
hsa-miR-497_st,ANO3
hsa-miR-497_st,HOXA3
hsa-miR-497_st,HOXC11
hsa-miR-497_st,HOXC8
hsa-miR-497_st,HPSE
hsa-miR-497_st,HSDL1
hsa-miR-497_st,HSPG2
hsa-miR-497_st,IGF2R
hsa-miR-497_st,IKBKB
